,state,t0,rate_t0,day_index_t0,t1,rate_t1,day_index_t1,t2,rate_t2,day_index_t2,t3,rate_t3,day_index_t3,t4,rate_t4,day_index_t4
0,Alabama,03-19,3.9576685219542362,33.0,03-26,-14.683300395256918,40.0,04-13,-33.67713250517598,58.0,05-06,-11.599096555618294,81.0,06-13,1.3363547207940805,119.0
1,Alaska,03-14,2.392857142857143,28.0,03-27,-43.142857142857146,41.0,04-13,-56.0,58.0,06-01,-25.785714285714285,107.0,07-10,-8.059523809523808,146.0
2,Arizona,03-19,2.340659340659341,33.0,03-27,-21.56043956043956,41.0,04-13,-34.494505494505496,58.0,04-21,-28.01098901098901,66.0,06-21,-13.032967032967035,127.0
3,Arkansas,03-18,1.991375497567448,32.0,03-25,-10.205904467049978,39.0,04-14,-25.44482038429407,59.0,06-05,0.0853174603174603,111.0,06-10,-0.2931808688387636,116.0
4,California,03-08,1.953739901213769,22.0,03-21,-28.13846229444236,35.0,04-10,-46.78212197159566,55.0,04-17,-41.18915608201322,62.0,06-14,-19.650062562022697,120.0
5,Colorado,03-13,2.69956818453059,27.0,03-23,-29.92399830745696,37.0,04-17,-44.49115646258503,62.0,04-24,-35.406182472989194,69.0,06-16,-10.92665429808287,122.0
6,Connecticut,03-10,1.1130952380952384,24.0,03-23,-36.714285714285715,37.0,04-14,-53.70918367346939,59.0,06-05,-23.918367346938776,111.0,06-09,-21.877551020408166,115.0
7,Delaware,03-13,5.202380952380952,27.0,03-25,-38.702380952380956,39.0,04-15,-46.285714285714285,60.0,06-02,-17.666666666666664,108.0,06-18,-4.75,124.0
8,District of Columbia,02-22,-5.857142857142857,7.0,03-20,-50.142857142857146,34.0,04-18,-76.0,63.0,06-06,-63.42857142857143,112.0,06-07,-62.857142857142854,113.0
9,Florida,03-16,2.633040851053978,30.0,03-25,-28.10828982755893,39.0,04-10,-47.87153931339977,55.0,05-07,-33.431731626286364,82.0,06-20,-18.536382113821137,126.0
10,Georgia,03-18,3.0801666327982113,32.0,03-26,-15.706767047556522,40.0,04-12,-33.67197802197802,57.0,05-02,-17.90851259422688,77.0,06-09,-6.143581535640953,115.0
11,Hawaii,03-02,1.4285714285714284,16.0,03-27,-57.17142857142858,41.0,04-14,-78.25714285714285,59.0,06-22,-64.77142857142857,128.0,06-23,-64.62857142857143,129.0
12,Idaho,03-18,2.9507936507936514,32.0,03-31,-23.061904761904763,45.0,04-16,-26.2,61.0,05-26,14.773015873015876,101.0,06-19,21.771897546897545,125.0
13,Illinois,03-15,1.6991472005932517,29.0,03-24,-22.744134897360706,38.0,04-14,-32.0349395623352,59.0,06-05,-7.787483778272157,111.0,06-18,-1.815451030245248,124.0
